A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,E1,E2,E3,E4,E5,E6,E7,E8,gender,math,grade,job
4,5,3,5,3,5,4,4,1,4,3,5,2,5,2,2,3,4,1,3,1,2,5,2,1,1,5,2
5,1,4,4,5,5,4,3,2,5,1,2,1,3,5,1,5,4,1,1,1,3,3,3,2,2,7,5
3,4,3,2,2,2,5,1,5,1,5,3,4,5,1,5,5,1,4,2,2,3,5,4,1,1,8,3
5,3,1,5,4,2,4,3,3,3,2,4,3,1,5,4,4,1,5,1,5,5,1,5,1,3,10,4
4,2,5,3,1,3,2,5,4,2,4,2,2,2,3,5,3,5,4,4,1,3,3,1,1,1,9,5
2,4,5,4,5,1,3,1,3,4,1,3,1,4,3,4,1,4,1,2,3,2,4,1,2,5,9,2
3,4,2,4,2,2,1,3,1,1,4,1,5,3,4,2,3,3,5,4,3,5,2,4,2,4,7,1
4,2,3,1,1,2,1,1,2,3,5,2,4,2,2,5,2,3,4,3,4,4,1,2,1,5,6,3
1,3,5,5,3,4,3,5,4,2,2,5,3,4,3,3,1,3,2,1,3,2,3,3,1,4,8,4
5,5,2,2,4,1,2,2,3,3,4,2,4,2,1,1,4,2,4,2,5,4,4,2,1,3,9,2
